category,child_category,title,description,price,nutrients,image
Сеты,Сеты,Сет Ваби-Саби,"580 г

Ролл с лососем и Дор блю, Ролл с лососем и крабом, Ролл Майо-терияки.",1750,"2622.90

ККал

88.70

Белки

430.20

Углеводы

60.80

Жиры

* на 100 грамм",https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&format=webp&background=1&domain=ayamm-panel.s2.sellkit.ru&time=3&url=%2FNewContent%2FPlates%2Fayamm_%2Ff7776e8dfa59144235f90bbaf49954b7.JPEG&width=1056&height=1056
Сеты,Сеты,Сет Таношими 2.0,"В составе 2 вида европейских роллов с лососем и икрой тобико, и 1 вид запеченного с лососем. Рассчитан на 2 персоны. СОСТАВ: - Ямато ролл 8шт (водоросли нори, рис, жаренный лосось, соус кимчи, икра тобико, сливочный сыр, огурец, помидор, лук фри) - Ролл Яки с лососем темпура 8шт (жаренный в кляре лосось, рис, водоросли нори, сливочный сыр, огурец, соус яки, соус унаги) - Калифорния сурими 8шт (имитация снежного краба, рис, водоросли нори, майонез, огурцы, икра тобико, кунжут) ВЕС: 580",1480,В 100 г253.8 ккалБелки7.2 гЖиры5.3 гУглеводы44.3 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F227%2Fe687ce88-5a58-4456-8a34-4e28a58b7196.jpg&width=627&height=627
Сеты,Сеты,Сет Саппоро 2.0,"Сет на 2-3 персоны. В составе европейские роллы: с креветкой, снежным крабом, лососем и угрём, вкус которых идеально дополняют соусы. СОСТАВ: - Ролл Ямато XL 4шт (водоросли нори, рис, жаренный лосось, соус кимчи, икра тобико, сливочный сыр, огурец, помидор, лук фри) - Ролл Итами XL 4шт (угорь, сливочный сыр, авокадо, рис, соус унаги, кунжут, нори) - Калифорния с крабом XL 4шт (имитация снежного краба, майонез, огурцы свежие, водоросли нори, рис, кунжут) - Филадельфия XL 4шт (лосось, сливочный сыр, рис, огурцы свежие, водоросли нори) - Эби Сам ролл 4шт (тигровая креветка, рис, сливочный сыр, огурец, лосось, водоросли нори, соус гамадари) ВЕС: 645",1999,В 100 г263.7 ккалБелки8.2 гЖиры8.8 гУглеводы38 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F226%2Fd4185685-c698-4e1d-8493-224736746cb6.jpg&width=627&height=627
Сеты,Сеты,"
Сет Каэн","630 г

Ролл Хоноо, Ролл Чеддер, Ролл Яки с лососем темпура.",1670,"2840.70

ККал

81

Белки

447.60

Углеводы

80.70

Жиры

* на 100 грамм",https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&format=webp&background=1&domain=ayamm-panel.s2.sellkit.ru&time=3&url=%2FNewContent%2FPlates%2Fayamm_%2F0ac7c9d4ef8f7800cbbf516f40e578fb.JPEG&width=1056&height=1056
Сеты,Сеты,Сет Олсен 2.0,"Сет на 4-5 персон. Состоит из запеченных роллов с лососем, снежным крабом, 4 видов маки, а так же из полюбившейся многим Филадельфии классической и острого ролла с крабом. СОСТАВ: - Филадельфия классическая 8шт (лосось, рис, водоросли нори, сливочный сыр, огурец) - Калифорния сурими 8шт (имитация снежного краба, рис, водоросли нори, майонез, огурцы, икра тобико, кунжут) - Маки с лососем 4шт (лосось, рис, водоросли нори) - Маки с угрем 4шт (угорь, рис, водоросли нори) - Маки с огурцом 4шт (огурец, кунжут, рис, водоросли нори) - Маки с авокадо 4шт (авокадо, рис, водоросли нори) - Ролл Яки с лососем темпура 8шт (лосось в кляре, рис, водоросли нори, сливочный сыр, огурец, яки соус, соус унаги) - Ролл Яки с сурими 8шт (сурими, рис, водоросли нори, сливочный сыр, огурец, яки соус, соус унаги, кунжут) ВЕС: 1000",2730,В 100 г224 ккалБелки6.4 гЖиры5.2 гУглеводы38 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F224%2F89578b89-3287-42bd-906a-aa15feb6a921.jpg&width=813&height=813
Сеты,Сеты,Сет Окинава 2.0,"Состоит из 3 европейских роллов, запеченного с лососем темпура и хот ролла с лососем и авокадо. Рассчитан на 3-4 персоны. СОСТАВ: - Филадельфия классическая 8шт (лосось, рис, водоросли нори, сливочный сыр, огурец) - Калифорния сурими 8шт (имитация снежного краба, рис, водоросли нори, майонез,огурцы, икра тобико, кунжут) - Хот ролл с лососем и авокадо 8шт (лосось, рис, водоросли нори, авокадо, сливочный сыр, тесто кляр, сухари панко) - Маки Пинагор с тилапией 8шт (тилапия, рис, сливочный сыр, водоросли нори, зеленый лук, соус спайси) - Ролл Яки с лососем темпура 8шт (лосось в кляре, рис, водоросли нори, сливочный сыр, огурец, яки соус, соус унаги) ВЕС: 950",1999,В 100 г276.4 ккалБелки7.7 гЖиры7.2 гУглеводы45.1 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F223%2F0b08b5ff-a8bc-4267-b0f8-20d7b2782d08.jpg&width=627&height=627
Сеты,Сеты,Сет Мацуо 2.0,"Сет состоит из горячих и запеченных роллов. Рассчитан на 2-3 персоны. СОСТАВ: - Хот ролл с лососем и авокадо 8шт (лосось, рис, сливочный сыр, авокадо, тесто кляр, водоросли нори) - Хот ролл с курицей 8шт (копченая куриная грудка, рис, водоросли нори, болгарский перец, сливочный сыр, тесто кляр, сухари панко) - Ролл Яки с лососем темпура 8шт (лосось в кляре, рис, водоросли нори, сливочный сыр, огурец, яки соус, соус унаги) - Ролл Яки с сурими 8шт (сурими, рис, водоросли нори, сливочный сыр, огурец, яки соус, соус унаги, кунжут) ВЕС: 860",1680,В 100 г320.1 ккалБелки7.7 гЖиры11.7 гУглеводы46 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F222%2Ff70e8b23-ffab-4758-8807-08712f6794d2.jpg&width=627&height=627
Сеты,Сеты,Сет Бэни,"710 г

Ролл Чеддер, Ролл Унаги Кранч, Ролл Яки с лососем темпура, Маки с лососем.",1810,"3431

ККал

103.40

Белки

566.40

Углеводы

83.50

Жиры

* на 100 грамм


",https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&format=webp&background=1&domain=ayamm-panel.s2.sellkit.ru&time=3&url=%2FNewContent%2FPlates%2Fayamm_%2F955c067fe13e9845b4af6a3e1628834d.JPEG&width=1056&height=1056
Сеты,Сеты,Сет Кайдзю 2.0,"В составе запеченные роллы с лососем и сурими и европейский ролл с лососем. Рассчитан на 2-3 персоны. СОСТАВ: - Ролл Цезарь с лососем темпура 8шт (жаренный в кляре лосось, рис, водоросли нори, помидоры, огурец, пекинская капуста, соус цезарь, сухари панко) - Ролл Яки с лососем темпура 8 шт (лосось в кляре, рис, водоросли нори, сливочный сыр, огурец, яки соус, соус унаги) - Ролл Яки с сурими 8шт (сурими, рис, водоросли нори, сливочный сыр, огурец, яки соус, соус унаги, кунжут) ВЕС: 620",1380,В 100 г185.2 ккалБелки5.2 гЖиры4.3 гУглеводы31.6 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F220%2F2cd67800-6006-49f1-a573-86486877296b.jpg&width=627&height=627
Сеты,Сеты,Сет Аями 2.0,"Сет для любителей морепродуктов. 5 европейских роллов и 1 горячий ролл с лососем и авокадо в составе. На 4-5 персон. СОСТАВ: - Филадельфия классическая 8шт (лосось, рис, водоросли нори, сливочный сыр, огурец) - Итами ролл 8шт (угорь, рис, водоросли нори, сливочный сыр, авокадо, соус унаги, кунжут) - Филадельфия Эби 8шт (тигровые креветки, рис, имитация снежного краба, водоросли нори, сливочный сыр, огурец, соус гамадари) - Маки Пинагор 8шт (тилапия, рис, сливочный сыр, водоросли нори, зеленый лук, соус спайси) - Калифорния сурими 8шт (имитация снежного краба, рис, водоросли нори, майонез,огурцы, икра тобико, кунжут - Хот ролл с лососем и авокадо 8шт (лосось, рис, водоросли нори, авокадо, сливочный сыр, тесто кляр, сухари панко) ВЕС: 1200",2999,В 100 г275.2 ккалБелки7.7 гЖиры8 гУглеводы43.1 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F219%2Fb2395192-83d2-4c06-90f6-744b718bec7d.jpg&width=627&height=627
Сеты,Сеты,Вакаяма сет 2.0,"Сет состоит из 3-х европейских роллов, запеченного с лососем и хот ролла с лососем и авокадо. Рассчитан на 3-4 персоны. СОСТАВ: - Ролл Яки с лососем темпура 8шт (лосось в кляре, рис, водоросли нори, сливочный сыр, огурец, яки соус, соус унаги) - Филадельфия Эби 8шт (тигровые креветки, рис, имитация снежного краба, водоросли нори, сыр сливочный, огурец, соус гамадари) - Маки Пинагор с тилапией 8шт (тилапия, рис, сливочный сыр, водоросли нори, зеленый лук, соус спайси) - Хот ролл с лососем и авокадо 8шт ( (лосось, рис, водоросли нори, огурец, сыр сливочный, тесто кляр, сухари панко) - Филадельфия спайси 8шт (лосось, рис, водоросли нори, сливочный сыр, огурец, соус спайси) ВЕС: 980",1980,В 100 г290.4 ккалБелки7.8 гЖиры8 гУглеводы46.9 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F218%2F98b21362-6672-4025-b427-8d9ca8066515.jpg&width=627&height=627
Сеты,Сеты,Акаси сет 2.0,"Сет для настоящих гурманов. В составе популярные роллы с морепродуктами. Идеально на 3-4 персоны. СОСТАВ: - Филадельфия классическая 8шт (лосось, рис, водоросли нори,сыр сливочный, огурец) - Филадельфия Эби 8шт (тигровые креветки, рис, имитация снежного краба, водоросли нори, сыр сливочный, огурец, соус гамадари) - Калифорния с лососем 8шт (лосось, рис, водоросли нори, сыр сливочный, огурец, икра тобико) - Итами ролл 8шт (угорь, рис, водоросли нори, сыр сливочный, авокадо, соус унаги, кунжут) ВЕС: 840",2530,В 100 г251 ккалБелки8 гЖиры7.4 гУглеводы38.3 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F217%2F12cc68fa-f680-4e96-a51e-4549c9b31aec.jpg&width=627&height=627
Роллы,Европейские роллы,"
Филадельфия с лососем","Лосось, рис, водоросли нори, сыр сливочный, огурцы. ВЕС: 260",1070,В 100 г226.50 ккалБелки9.60 гЖиры7.20 гУглеводы30.90 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&format=webp&background=1&domain=ayamm-panel.s2.sellkit.ru&time=3&url=%2FNewContent%2FPlates%2Fayamm_%2F8f69ec7f7838c3aec2cfd2ef4aa194d4.JPEG&width=1056&height=1056
Роллы,Европейские роллы,Филадельфия Эби,"Современная интерпретация ролла филадельфия, с начинкой из хрустящего огурца и снежного краба, который покрыт слоем отварных хрустящих креветок и полит ореховым соусом. СОСТАВ: Тигровые креветки, рис, имитация снежного краба, водоросли нори, сливочный сыр, огурец, соус гамадари. ВЕС: 210",660,В 100 г173.8 ккалБелки4.6 гЖиры4 гУглеводы30 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F322%2F358342_74eeceb8-ff62-4c88-839a-643746979dfd.jpg&width=627&height=627
Роллы,Европейские роллы,Филадельфия с манго,"Классический ролл с нежным манго, сливочным сыром и охлажденным лососем. СОСТАВ: Лосось, рис, водоросли нори, сливочный сыр, манго. ВЕС: 200",770,В 100 г192.8 ккалБелки6.7 гЖиры5.1 гУглеводы30 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F321%2F358342_6560673d-a329-483a-b60f-4d033e505839.jpg&width=627&height=627
Роллы,Европейские роллы,Филадельфия с авокадо,"Классический ролл с нежным авокадо, сливочным сыром и охлажденным лососем. СОСТАВ: Лосось, рис, водоросли нори, сливочный сыр, авокадо. ВЕС: 205",770,В 100 г214.2 ккалБелки7.1 гЖиры6.9 гУглеводы31 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F320%2F358342_36121e3e-c18a-4e4f-a694-2dd7818c7efa.jpg&width=627&height=627
Роллы,Европейские роллы,"
Ролл с Креветкой Спайси","Креветки тигровые, огурцы, рис, водоросли нори, сыр сливочный, соус спайси ВЕС: 260",770,В 100 г207.80 ккалБелки4.80 гЖиры6.20гУглеводы33.30 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&format=webp&background=1&domain=ayamm-panel.s2.sellkit.ru&time=3&url=%2FNewContent%2FPlates%2Fayamm_%2F8a6dcbd04e3fc9a89f48f51596b1f192.JPEG&width=1056&height=1056
Роллы,Европейские роллы,"
Калифорния","Икра тобико, рис, водоросли нори, сурими, майонез, огурцы. ВЕС: 245г",640,В 100г 184.50ККал 6.10Белки 34.90Углеводы 2.30Жиры,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&format=webp&background=1&domain=ayamm-panel.s2.sellkit.ru&time=3&url=%2FNewContent%2FPlates%2Fayamm_%2F5e25460490f14c8bd2a3230ee4100467.JPEG&width=1056&height=1056
Роллы,Европейские роллы,Филадельфия Унаги,"Угорь, рис, водоросли нори, сыр сливочный, авокадо, соус унаги, кунжут. ВЕС: 250г",1070,В 100г 318.10ККал 8.70Белки 39.50Углеводы 13.90Жиры,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&format=webp&background=1&domain=ayamm-panel.s2.sellkit.ru&time=3&url=%2FNewContent%2FPlates%2Fayamm_%2Fc9f60f9900a57e7e78b5c7cab47a5363.JPEG&width=1056&height=1056
Роллы,Европейские роллы,Филадельфия классическая,"Нежное сочетание классических ингредиентов: охлаждённого лосося, сыра и хрустящего огурца. СОСТАВ: Лосось, рис, водоросли нори, сливочный сыр, огурец. ВЕС: 205",670,В 100 г239.9 ккалБелки8.4 гЖиры6.5 гУглеводы37 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F318%2F358342_f7f97e87-9ef3-4725-adde-734b06f3e0b4.jpg&width=627&height=627
Роллы,Европейские роллы,Ролл Ямато,"СОСТАВ: Водоросли нори, рис, лосось жаренный, соус кимчи, икра тобико, сливочный сыр, огурцы, помидоры, лук фри. ВЕС: 180",550,В 100 г236.7 ккалБелки6.7 гЖиры5.2 гУглеводы40.8 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F317%2F358342_ce168efd-f9c6-401c-af6a-c43b55078bf0.jpg&width=627&height=627
Роллы,Европейские роллы,Ролл Унаги Кранч,"СОСТАВ: Угорь, рис, водоросли нори, сливочный сыр, огурцы, помидоры, лук фри, соус терияки. ВЕС: 220",770,В 100 г240.3 ккалБелки7.4 гЖиры8 гУглеводы34.7 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F316%2F358342_0d3cf663-36af-408a-a116-a53516bb4b8f.jpg&width=627&height=627
Роллы,Европейские роллы,Сливочная Креветка,"Креветки тигровые, авокадо, рис, водоросли нори, сыр сливочный. ВЕС: 240 г",770,В 100 г217.50 ккалБелки4.80 гЖиры7.30 гУглеводы33.20 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&format=webp&background=1&domain=ayamm-panel.s2.sellkit.ru&time=3&url=%2FNewContent%2FPlates%2Fayamm_%2F4b6e9ffe5cddeacf95f66bb2741a6795.JPEG&width=1056&height=1056
Роллы,Европейские роллы,Ролл с лососем и лаймом,"Необычное сочетание кусочков охлаждённого лосося с листьями лайма и нежного авокадо внутри, мы подаём под фирменными пряными соусами. СОСТАВ: Лосось, рис, сливочный сыр, соус спайси, авокадо, водоросли нори, листья лайма, соус терияки, соус васаби-майо, хрустики. ВЕС: 230",710,В 100 г268.5 ккалБелки8.3 гЖиры8.5 гУглеводы39.6 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F314%2F358342_dedec103-1790-42aa-b578-7241e305161f.jpg&width=627&height=627
Роллы,Европейские роллы,Криспи Чикен ролл,"СОСТАВ: Куриная грудка копченая, сливочный сыр, огурцы, лук фри, зеленый лук, соус гамадари, соус унаги. ВЕС: 190",510,В 100 г188 ккалБелки5.6 гЖиры4.6 гУглеводы31.1 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F313%2F358342_2af6d43b-f143-41a0-b459-02fd60f45a85.jpg&width=627&height=627
Роллы,Европейские роллы,Калифорния с лососем криспи,"СОСТАВ: Лосось в кляре, сыр сливочный, огурцы, икра тобико, рис, водоросли нори, кунжут, лук фри, зеленый лук, соус васаби майо, соус унаги. ВЕС: 190",610,В 100 г189.2 ккалБелки5.7 гЖиры4 гУглеводы32.5 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F312%2F358342_668b4494-6a76-4cf6-897b-ce8557ee632b.jpg&width=627&height=627
Роллы,Европейские роллы,Калифорния с лососем и луком фри,"СОСТАВ: Лосось, сыр сливочный, огурцы, икра тобико, рис, водоросли нори, кунжут, лук фри, зеленый лук, соус васаби майо, соус унаги. ВЕС: 190",710,В 100 г182.7 ккалБелки5.8 гЖиры4.2 гУглеводы30.4 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F311%2F358342_7c13b000-e2be-4a08-be7e-b26f14dbee72.jpg&width=627&height=627
